city,timestamp,temperature,season
New York,2010-01-01,8.25486072660977,winter
New York,2010-01-02,0.7411518349618545,winter
New York,2010-01-03,3.495796108700275,winter
New York,2010-01-04,-1.688702476810919,winter
New York,2010-01-05,-3.332223091611536,winter
New York,2010-01-06,-0.4698336773501344,winter
New York,2010-01-07,-1.1410580551879974,winter
New York,2010-01-08,-2.528577796034454,winter
New York,2010-01-09,2.4314496253736024,winter
New York,2010-01-10,9.015488905774816,winter
New York,2010-01-11,4.652378541442247,winter
New York,2010-01-12,2.354374412456801,winter
New York,2010-01-13,-4.563636215923689,winter
New York,2010-01-14,-3.021793689369245,winter
New York,2010-01-15,9.290670329156006,winter
New York,2010-01-16,-10.552901295573173,winter
New York,2010-01-17,0.4549447714633717,winter
New York,2010-01-18,5.417037884183093,winter
New York,2010-01-19,-6.841610222207902,winter
New York,2010-01-20,-2.3515130320038575,winter
New York,2010-01-21,5.162080129955164,winter
New York,2010-01-22,-4.214208434942802,winter
New York,2010-01-23,1.5922736006569038,winter
New York,2010-01-24,-1.1358961734287483,winter
New York,2010-01-25,-6.52262695573044,winter
New York,2010-01-26,-6.00118537013227,winter
New York,2010-01-27,-2.1400777597146794,winter
New York,2010-01-28,-1.9752923544433123,winter
New York,2010-01-29,4.7194847981217825,winter
New York,2010-01-30,-1.3254572933413122,winter
New York,2010-01-31,-3.5262429986600297,winter
New York,2010-02-01,5.971598248552535,winter
New York,2010-02-02,-4.5106804134726435,winter
New York,2010-02-03,3.5647376509812965,winter
New York,2010-02-04,4.475890305023494,winter
New York,2010-02-05,-0.3604676944195761,winter
New York,2010-02-06,-0.49715017229484265,winter
New York,2010-02-07,-8.636464107560878,winter
New York,2010-02-08,-6.846065692810164,winter
New York,2010-02-09,1.6276896873544184,winter
New York,2010-02-10,6.382414872067175,winter
New York,2010-02-11,2.5324171421446255,winter
New York,2010-02-12,-2.7365923978600954,winter
New York,2010-02-13,-1.9248922301501992,winter
New York,2010-02-14,2.244463147777757,winter
New York,2010-02-15,-4.769003586677255,winter
New York,2010-02-16,-8.98280178535994,winter
New York,2010-02-17,-2.8649514740805615,winter
New York,2010-02-18,-12.313877547774315,winter
New York,2010-02-19,-6.771783143868197,winter
New York,2010-02-20,-7.354746629397454,winter
New York,2010-02-21,-7.350106856800177,winter
New York,2010-02-22,1.0103973319738628,winter
New York,2010-02-23,1.5792314089663362,winter
New York,2010-02-24,-3.7009878330984196,winter
New York,2010-02-25,-0.30573829788414586,winter
New York,2010-02-26,-3.1863827358921752,winter
New York,2010-02-27,8.003756466749577,winter
New York,2010-02-28,13.718733445176998,winter
New York,2010-03-01,5.023839432557155,spring
New York,2010-03-02,16.75983980974113,spring
New York,2010-03-03,7.646524988758595,spring
New York,2010-03-04,10.7273891164851,spring
New York,2010-03-05,14.40918058858853,spring
New York,2010-03-06,12.974293805500931,spring
New York,2010-03-07,7.652464710055049,spring
New York,2010-03-08,15.45566603019234,spring
New York,2010-03-09,7.57570075234031,spring
New York,2010-03-10,2.8678602771540387,spring
New York,2010-03-11,14.620679900402257,spring
New York,2010-03-12,-4.722549232032753,spring
New York,2010-03-13,17.408255389735245,spring
New York,2010-03-14,17.917427390646154,spring
New York,2010-03-15,8.618376468581205,spring
New York,2010-03-16,14.244807494645054,spring
New York,2010-03-17,11.913257724769807,spring
New York,2010-03-18,9.023106775084113,spring
New York,2010-03-19,13.90148149312303,spring
New York,2010-03-20,10.051514994428066,spring
New York,2010-03-21,2.1514292444435403,spring
New York,2010-03-22,18.407649447798285,spring
New York,2010-03-23,2.5518973967442617,spring
New York,2010-03-24,2.0183885357151645,spring
New York,2010-03-25,10.070776059871587,spring
New York,2010-03-26,4.730892405623703,spring
New York,2010-03-27,14.727904481206867,spring
New York,2010-03-28,8.378078101829432,spring
New York,2010-03-29,13.927846536652392,spring
New York,2010-03-30,8.435736950408229,spring
New York,2010-03-31,5.813857661619938,spring
New York,2010-04-01,7.008547343488205,spring
New York,2010-04-02,9.428868327532044,spring
New York,2010-04-03,12.347075609445188,spring
New York,2010-04-04,13.000061423109461,spring
New York,2010-04-05,8.249799142205186,spring
